OLD_CODE;NEW_CODE
h-t-150-mw;hatsan_torpedo_150_mw
ha-125-ca;hatsan_125_camo
h-125-mw;hatsan_125_mw
h-125-th-c;hatsan_125_th_camo
h-135-sp;hatsan_135_sp
alfa-14-od;alfamax_mod_14_od
alfam-14-th;alfamax_mod_14_th
alf-14-th-mw;alfamax_mod_14_th_mw
alfa-15-sp-der;alfamax_mod_15_sp_der
alf-15-xrd-der;alfamax_mod_15_xrd_der
alfa-15-der;alfamax_mod_15_der
alf-18-pls;alfamax_mod_18_pls
alf-18-camo;alfamax_mod_18_camo
h-70-c;hatsan_70_camo
h-85-mw;hatsan_85_mw
h-at44-pa;hatsan_at44_pa
h-t-100x;hatsan_torpedo_100x
h-t-105x-camo;hatsan_torpedo_105x_camo
h-t-105x_mw;hatsan_torpedo_105x_mw
h-t-150-c;hatsan_torpedo_150_camo
alf-14-th-od;alfamax_mod_14_th_od
h-t-150-th-c;hatsan_torpedo_150_th_camo
d-240-c-T06;pnevmaticheskaya_vintovka_diana_240_classic
dia-28;pnevmaticheskaya_vintovka_diana_28
d-34-c-T06;pnevmaticheskaya_vintovka_diana_34_classic
alf-6-mw;alfamax_mod_6_mw
alf-6-camo;alfamax_mod_6_camo
alf-12-dark-gr;alfamax_mod_12_darkgrey
alf-12-ora;alfamax_mod_12_orange
d-350-m-cT06;pnevmaticheskaya_vintovka_diana_panther_350_magnum_compact
d-350-m-p-c;pnevmaticheskaya_vintovka_diana_panther_350_magnum_professional_compact
d-34-pre;pnevmaticheskaya_vintovka_diana_34_premium
dia-280-cl;pnevmaticheskaya_vintovka_diana_280_classic
d-34-clas-T06;pnevmaticheskaya_vintovka_diana_34_classic_compact
d-34-c-p-T06;pnevmaticheskaya_vintovka_diana_34_classic_professional
d-350-p-m;pnevmaticheskaya_vintovka_diana_350_panther_magnum_professional
d-34-c-pro-co;pnevmaticheskaya_vintovka_diana_34_classic_professional_compact
d-350-T06;pnevmaticheskaya_vintovka_diana_350_magnum_classic_professional
d-56-th-t;pnevmaticheskaya_vintovka_diana_56_th_target_hunter
d-470-th-T06;pnevmaticheskaya_vintovka_diana_470_th_target_hunter
d-48-bl-T06;pnevmaticheskaya_vintovka_diana_48_black_professional
d-460-mag;pnevmaticheskaya_vintovka_diana_460_magnum
d-350-mag-T06;pnevmaticheskaya_vintovka_diana_350_magnum_classic_professional_compact
g-s-dx-c;gamo_shadow_dx_combo
g-max-rx;gamo_maxima_rx
g-de-for;gamo_delta_forest
dia-350-Mag;pnevmaticheskaya_vintovka_diana_350_magnum
dia-350;pnevmaticheskaya_vintovka_diana_350_magnum_classic
g-w-fus;gamo_whisper_fusion
g-bl-kni;gamo_black_knight
g-b-bull;gamo_black_bull
dia-45;pnevmaticheskaya_vintovka_diana_45
d-46-stut;pnevmaticheskaya_vintovka_diana_46_stutzen
dia-31;pnevmaticheskaya_vintovka_diana_31_panther
dia-460;pnevmaticheskaya_vintovka_diana_460
dia-48;pnevmaticheskaya_vintovka_diana_48
g-cfx-ve;gamo_cfx_ve
diana-48;pnevmaticheskaya_vintovka_diana_48_black
alf-12-pls;alfamax_mod_12_pls
alfa-12-yel;alfamax_mod_12_yellow
d-52-T06;pnevmaticheskaya_vintovka_diana_52
